Catalysts,Li,Na,Mg,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Zr,Mo,Pd,Cs,Ba,La,Ce,Nd,Eu,Tb,Hf,W,C2y
Ti-Tb-W,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,17.14
Sr-Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0.371,0,15.02
V-Sr,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84
Sr-Mo-Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,13.27
Sr-Mo-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,13.54
Sr-Mo-Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,16.81
Li-Mo-Cs,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,17.39
Li-Mo-W,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,16.28
V-Mo-W,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,14.26
K-Mo-W,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,18.36
Zr-Mo-Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0.371,0,0.371,0,0,0,0,0,0,0,0,17.96
Zr-Cs-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0.371,17.32
K-V-W,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,15.01
K-Y-Mo,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,0,0,17.6
K-V-Y,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,18.21
Mg-Zr-Eu,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0.371,0,0,0,18.82
K-V-Eu,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,20.38
V-Mo-Eu,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0,16.96
K-Ca-Mo,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,18.23
K-V-Zr,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,14.8
Mg-Zr-Cs,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,15.16
Mg-Y-Zr,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,18.62
Li-Ti-W,0.371,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,19.03
Mg-Ca-Sr,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37
Mg-K-Ba,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,12.81
Eu-Hf-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0.371,16.88
Fe-Mo-Hf,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,16.03767379
Cu-Cu-La,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,2.403662068
Li-Zn-Tb,0.371,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,14.79137765
Li-K-Fe,0.371,0,0,0.371,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49775849
V-Co-Cs,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,10.34898886
Ti-Mo-Cs,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,17.67992217
Na-Ni-W,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0
Eu-Eu-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0.371,16.21392787
Ti-Cs-Cs,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,19.59885546
Mg-Pd-Ce,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,0,0,0,0,0,0
Li-Mg-Cs,0.371,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,17.60039277
Na-Mo-Cs,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,18.5316039
K-V-Ba,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,14.69892948
K-Mo-Mo,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,20.64360755
Sr-Zr-La,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0.371,0,0,0,0,0,0,22.21659863
Ca-Pd-Nd,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0.371,0,0,0,0,0
Cu-Cs-Nd,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0.371,0,0,0,0,7.273205136
Li-Ce-Nd,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,11.92517029
Cs-Eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0.371,0,0,0,17.77740908
Eu-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.371,16.88366255
K-Ti-Cu,0,0,0,0.371,0,0.371,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.652693981
Li-Zn-Zn,0.371,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67574245
Zr-Mo-Eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0.371,0,0,0,17.64385854
K-La-W,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.371,18.35861044
Cs-Eu-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0.371,0,0,0.371,17.62813854
Ce-Hf-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,0.371,17.67250911
Cs-Cs-Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,20.60595482
Ba-Ba-Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,5.481305289
Fe-Ni-Pd,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,3.865127913
Pd-Pd-Pd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,0,7.137422684
Co-Cu-Pd,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,6.885589485
K-K-K,0,0,0,1.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74858221
