Catalyst,Mg,Zn,Cu,Ag,Ni,Al,La,Y,Hf,Zr,Cr,Ga,Nb,Mo,C4H6 yield (%)
88,0,0.1107,0.246,0,0.0123,0.0123,0.123,0.123,0.0492,0.2214,0,0.0246,0.1353,0.1722,29
89,0.1107,0.1845,0.0615,0.0492,0.0123,0.0246,0.1599,0.0861,0,0.2214,0.0369,0.0246,0.0861,0.1722,33
90,0.0369,0.1845,0.0615,0.0615,0.0246,0.0246,0.0492,0.0984,0.0738,0.4059,0.1476,0.0246,0.0123,0.0246,40
91,0.1323,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.4263,0.0441,0,0.147,0.1029,31
92,0.1107,0.1107,0.1353,0.0492,0.1476,0.0123,0.123,0.0861,0,0.1722,0.0369,0.0246,0.1353,0.0861,29
93,0.0105,0.1575,0.0735,0.0315,0.0735,0.021,0.0735,0.042,0.063,0.147,0.1995,0.084,0.063,0.0105,31
94,0.1323,0.2205,0.0735,0.0588,0.0147,0.0294,0.1911,0.2205,0,0.2058,0.0441,0.0294,0.147,0.1029,31
95,0,0.1107,0.246,0.0492,0.0123,0,0.123,0.123,0.1353,0.2214,0.0369,0.0246,0.1353,0.0123,36
96,0,0.1575,0.0735,0.042,0.084,0.042,0.1365,0.021,0.0105,0.147,0.0315,0.126,0.105,0.0735,16
97,0.1029,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1323,27
98,0.1323,0.2205,0.0735,0,0.1029,0.0294,0.1911,0,0,0.2058,0.0441,0.2205,0.147,0.1029,24
99,0.081,0.27,0.135,0.189,0.243,0.27,0.108,0.054,0.27,0.243,0.135,0.27,0.162,0.243,26
100,0.0111,0.0999,0.0444,0.0333,0.0999,0,0.111,0.0999,0.0777,0.0999,0.111,0.111,0.1332,0.0999,29
101,0,0.1845,0.0615,0.0861,0,0.0492,0.0738,0.0492,0,0.0246,0.0369,0.5289,0.123,0.0123,15
102,0.1107,0,0.1353,0.0492,0.1476,0.0123,0.0861,0.0861,0.2214,0.1722,0.0369,0.0246,0.0615,0.0861,20
103,0.0123,0.1107,0.0861,0.0492,0.0984,0.0123,0.0861,0.123,0.4305,0.0861,0.0369,0.0246,0.0615,0.0123,34
104,0,0.1107,0.246,0.0861,0.0123,0.0123,0.0738,0.0492,0.2214,0.0861,0,0.0246,0.1353,0.1722,44
105,0.0105,0.1575,0.0525,0,0.084,0.021,0.1365,0.0735,0,0.147,0.0315,0.1575,0.105,0.0735,31
106,0.0615,0.123,0.0984,0.0492,0.0738,0.123,0.0738,0.0738,0.0246,0.0615,0.0984,0.1107,0.1968,0.0615,17
107,0,0.0945,0.21,0.0315,0.0105,0.0105,0.105,0.042,0.063,0.189,0,0.021,0.063,0.21,31
108,0.0315,0.1575,0.0735,0.0525,0.084,0.021,0.042,0.0735,0.0105,0.3465,0.105,0.021,0.0105,0.021,25
109,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,51
110,0.1107,0.1845,0.0738,0.0492,0,0.0246,0.1599,0.0861,0,0.2214,0.0369,0.0246,0.0861,0.1722,33
111,0.0369,0.1107,0.246,0.0615,0.0246,0.0246,0.0492,0.1722,0.0738,0.2214,0.1476,0.0246,0.0123,0.0246,34
112,0.0441,0.3822,0.1029,0.0588,0.1176,0.0588,0.1029,0.147,0.0147,0.2646,0.0441,0.0294,0.0735,0.0294,44
113,0.1323,0.2205,0.0735,0.0294,0,0,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1029,35
114,0.1323,0.2205,0.0294,0,0,0.0735,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1029,28
115,0.0765,0.102,0.2295,0.1275,0.255,0.153,0.204,0.204,0.1785,0.1785,0.204,0.2295,0.1785,0.1785,18
116,0.078,0.1092,0.078,0.1092,0.1248,0.1404,0.1248,0.078,0.1092,0.0468,0.1872,0.0624,0.1404,0.1872,52
117,0.1107,0.1845,0.246,0.0492,0,0.0123,0.123,0.123,0,0.2214,0,0.0246,0.1353,0,51
118,0.0369,0.2829,0.0861,0.0492,0.0984,0.0123,0.123,0.123,0.0123,0.2214,0,0.0246,0.1353,0.0246,21
119,0.0111,0.1665,0.0555,0.0777,0,0.0444,0.0666,0.0444,0,0.0444,0,0.4773,0.111,0.0111,48
120,0.0111,0.1665,0.0444,0.0333,0.0888,0,0.222,0.0999,0.0666,0.0999,0.0111,0.111,0.0555,0.0999,43
121,0,0.0861,0.0861,0.0492,0.0984,0.0492,0.0861,0.123,0.2952,0.2214,0.0369,0.0246,0.0615,0.0123,14
